id,fid,queimada,latitude,longitude,epsg,swir22_last,nir08_last,ndvi_last
70859,70859,0,-16.04901601555844,-48.21821012137151,4326,1509,2841,5176
71857,71857,0,-16.049030659777788,-48.21723577417297,4326,1565,2727,4828
72864,72864,0,-16.044025415707292,-48.21618079304297,4326,1442,2222,4852
73863,73863,0,-16.04348228069678,-48.21519751340743,4326,1375,1602,4322
74858,74858,0,-16.04517020455644,-48.21425004740325,4326,1600,1409,3230
75856,75856,0,-16.04518482736416,-48.21327571509494,4326,1174,2530,6124
76853,76853,0,-16.045757212852507,-48.21231032854397,4326,1330,1796,4583
77848,77848,0,-16.047445130011088,-48.21136282861978,4326,1554,1582,3556
78843,78843,0,-16.049133045655626,-48.21041531464488,4326,1337,1018,2560
79841,79841,0,-16.04914765453999,-48.20944095939143,4326,873,2512,7140
80866,80866,0,-16.034102483683426,-48.20822537374936,4326,1556,1982,4066
81864,81864,0,-16.034117069318448,-48.20725108943616,4326,1579,2442,4360
82835,82835,0,-16.049191454691183,-48.20651788759931,4326,1452,1860,4368
83833,83833,0,-16.049206045907557,-48.20554352832569,4326,1485,2365,4813
